id,nome,tipo,setor,cidade,telefone,email,site,score,classificacao,status,ultimo_contato,proximo_followup,canal,notas
fryda-cafe-taubate,Fryda Café,b2c,Cafeteria,Taubaté,+551234328445,,,70,quente,abordado,2026-06-18,2026-06-21,,"[14/06] respondeu, quer ver proposta"
m-nunes-taubate,M.Nunes,b2b,Contabilidade,Taubaté,+55 12 3246 9640,,,55,morno,novo,,,,
cantuario-monteiro-advogados-taubate,Cantuario & Monteiro Advogados,b2b,Advocacia,Taubaté,+55 12 3413 5083,,,55,morno,novo,,,,
consultorio-odontologico-caroline-de-carlo-taubate,Consultório Odontológico Caroline De Carlo,b2c,Odontologia,Taubaté,+55 12 3629 1127,,,50,morno,novo,,,,
dog-cat-taubate,Dog & Cat,b2c,Pet shop,Taubaté,+55 12 3424 5093,,,50,morno,novo,,,,
bello-monte-paes-e-delicias-taubate,Bello Monte Pães e Delícias,b2c,Padaria,Taubaté,+55 12 99212 8685,,,50,morno,novo,,,,
casa-de-racao-emporio-real-taubate,Casa de Ração Empório Real,b2c,Pet shop,Taubaté,+55 12 99240 7612,,,50,morno,novo,,,,
neves-racoes-taubate,Neves Rações,b2c,Pet shop,Taubaté,+55 12 3624 3714,,,50,morno,novo,,,,
divina-cabeleleiro-unissex-taubate,Divina Cabeleleiro Unissex,b2c,Salão de beleza,Taubaté,+55 12 98176 1987,,,50,morno,novo,,,,
arte-estilo-salao-de-beleza-taubate,Arte & Estilo Salão de Beleza,b2c,Salão de beleza,Taubaté,+55 12 3622 7950,,,50,morno,novo,,,,
pizzaria-e-esfiharia-la-vecchia-taubate,Pizzaria e Esfiharia la Vecchia,b2c,Restaurante,Taubaté,+55 12 3674 1940,,,50,morno,novo,,,,
gold-hair-sg-taubate,Gold Hair SG,b2c,Salão de beleza,Taubaté,+55 12 996200272,,,50,morno,novo,,,,
panitalia-taubate,Panitália,b2c,Padaria,Taubaté,+55 (12) 3681-4433,,,50,morno,novo,,,,
belo-cao-petmovel-taubate,Belo cão petmovel,b2c,Pet shop,Taubaté,12996195866,,,50,morno,novo,,,,
seu-peixe-emporio-taubate,Seu peixe - empório,b2c,Restaurante,Taubaté,12996602547,,,50,morno,novo,,,,
sd-alimentos-taubate,SD alimentos,b2c,Restaurante,Taubaté,12982476870;1232225644,,,50,morno,novo,,,,
fe-gastronomia-taubate,Fe gastronomia,b2c,Restaurante,Taubaté,012 99150-9089,,,50,morno,novo,,,,
studio-mulher-treinamento-feminino-taubate,Studio Mulher - Treinamento Feminino,b2c,Academia,Taubaté,012 97850-2503,,,50,morno,novo,,,,
barril-do-ze-bigode-taubate,Barril do Zé Bigode,b2c,Restaurante,Taubaté,+55 12 3413 5045,,,50,morno,novo,,,,
o-manda-chuva-taubate,O Manda Chuva,b2c,Restaurante,Taubaté,+55 12 3632 2479,,,50,morno,novo,,,,
churrascaria-nova-brescia-taubate,Churrascaria Nova Brescia,b2c,Restaurante,Taubaté,+55 12 3681 3358,,,50,morno,novo,,,,
mercato-della-colonia-agricola-di-quiririm-taubate,Mercato Della Colônia Agrícola Di Quiririm,b2c,Restaurante,Taubaté,+55 12 99642 8380,,,50,morno,novo,,,,
panificadora-reis-taubate,Panificadora Reis,b2c,Padaria,Taubaté,+55 11 3424 3286,,,50,morno,novo,,,,
espaco-equilybrio-taubate,Espaço Equilybrio,b2c,Academia,Taubaté,+55 12 3011 9075,,,50,morno,novo,,,,
ativa-zen-taubate,Ativa Zen,b2c,Academia,Taubaté,+55 12 3426 0080,,,50,morno,novo,,,,
juba-barbearia-taubate,Jubá Barbearia,b2c,Salão de beleza,Taubaté,+55 12 99122 7193,,,50,morno,novo,,,,
aster-pizza-taubate,Aster Pizza,b2c,Restaurante,Taubaté,+55 12 3631 7248,,,50,morno,novo,,,,
restaurante-picanha-e-truta-taubate,Restaurante Picanha e Truta,b2c,Restaurante,Taubaté,+55 12 3686 1402,,,50,morno,novo,,,,
esfiharia-taubate,Esfiharia,b2c,Restaurante,Taubaté,+55 12 3411 6261,,,50,morno,novo,,,,
aguia-dourada-cabeleleiros-taubate,Aguia Dourada Cabeleleiros,b2c,Salão de beleza,Taubaté,+55 12 3026 4298,,,50,morno,novo,,,,
