nome,tipo,setor,cidade,telefone,site,nota,avaliacoes,instagram,linkedin
Fryda Café,b2c,Cafeteria,Taubaté,12999990000,,4.8,320,@frydacafe,
Padaria Trigo de Ouro,b2c,Padaria,Taubaté,12988887777,,4.6,140,,
Clínica OdontoSorriso,b2c,Odontologia,Taubaté,12977776666,http://odontosorriso.com.br,4.7,210,,
Restaurante Sabor Caseiro,b2c,Restaurante,Taubaté,12966665555,https://saborcaseiro.com.br,4.2,85,@saborcaseiro,
StarCad Brasil,b2b,Indústria gráfica,Santo André,1133334444,http://starcadbrasil.com.br,4.1,32,,
Distribuidora Vale Suprimentos,b2b,Atacado materiais,São José dos Campos,1233332222,,3.9,18,,
MecânicaPro Industrial,b2b,Manutenção industrial,Jacareí,1234445555,https://mecanicapro.ind.br,4.5,60,,https://linkedin.com/company/mecanicapro
Contabilidade Prisma,b2b,Contabilidade,Taubaté,1235556666,,4.9,75,,
Pet Shop Amigo Fiel,b2c,Pet shop,Taubaté,12944443333,https://amigofielpet.com.br,4.4,95,@amigofielpet,
TechParts Componentes,b2b,Distribuidora eletrônicos,Campinas,1932221111,,4.0,40,,
